x,y
-14375,16722
-14393,16719
-14402,16716
-14409,16712
-14412,16710
-14417,16704
-14421,16697
-14422,16693
-14423,16687
-14423,16681
-14422,16677
-14419,16669
-14415,16662
-14412,16659
-14408,16655
-14400,16650
-14388,16645
-14348,16638
-14171,16638
-14127,16646
-14103,16655
-14089,16663
-14079,16672
-14071,16681
-14064,16692
-14059,16705
-14057,16716
-14057,16726
-14059,16735
-14064,16748
-14070,16759
-14080,16771
-14093,16782
-14112,16793
-14143,16804
-14207,16815
-14345,16815
-14364,16812
-14376,16808
-14384,16804
-14388,16801
-14392,16796
-14394,16793
-14396,16787
-14397,16782
-14397,16777
-14397,16774
-14395,16768
-14393,16764
-14390,16760
-14383,16754
-14374,16749
-14359,16743
-14310,16734
-14148,16734
-14106,16741
-14085,16749
-14070,16758
-14060,16766
-14052,16775
-14047,16784
-14043,16794
-14041,16804
-14041,16813
-14043,16822
-14047,16832
-14054,16844
-14064,16855
-14074,16863
-14095,16875
-14124,16886
-14190,16898
-14342,16898
-14368,16893
-14382,16888
-14395,16881
-14402,16875
-14406,16870
-14409,16865
-14411,16860
-14412,16853
-14412,16846
-14411,16840
-14410,16836
-14406,16828
-14400,16821
-14393,16815
-14382,16809
-14358,16800
-14281,16786
-14130,16786
-14081,16795
-14059,16803
-14045,16811
-14036,16819
-14029,16827
-14025,16834
-14022,16842
-14020,16853
-14020,16862
-14022,16872
-14025,16881
-14030,16890
-14039,16900
-14050,16909
-14067,16919
-14094,16929
-14169,16942
-14332,16942
-14358,16937
-14373,16932
-14385,16925
-14391,16920
-14397,16913
-14402,16905
-14405,16897
-14406,16893
-14406,16884
-14405,16880
-14402,16873
-14397,16865
-14391,16857
-14380,16848
-14364,16839
-14339,16830
-14270,16818
-14124,16818
-14081,16826
-14060,16834
-14047,16841
-14036,16851
-14028,16861
-14022,16871
-14019,16878
-14017,16888
-14017,16897
-14019,16906
-14023,16917
-14029,16927
-14038,16938
-14050,16948
-14067,16958
-14096,16969
-14184,16985
-14348,16985
-14372,16981
-14384,16977
-14394,16971
-14400,16966
-14409,16955
-14414,16947
-14417,16939
-14418,16931
-14418,16924
-14416,16915
-14413,16906
-14407,16896
-14400,16887
-14390,16879
-14375,16870
-14324,16851
-14264,16840
-14087,16840
-14033,16850
-14003,16861
-13978,16876
-13964,16888
-13956,16898
-13950,16909
-13947,16918
-13945,16929
-13945,16942
-13947,16954
-13951,16965
-13958,16977
-13969,16990
-13984,17003
-14004,17014
-14036,17026
-14133,17043
-14242,17043
-14261,17040
-14276,17035
-14285,17030
-14293,17023
-14299,17016
-14304,17007
-14306,17003
-14307,16995
-14307,16988
-14306,16981
-14304,16974
-14301,16969
-14297,16964
-14288,16956
-14251,16935
-14212,16921
-14164,16913
-14113,16913
-14080,16919
-14059,16927
-14036,16940
-14011,16961
-13987,16990
-13904,17134
-13900,17146
-13898,17156
-13898,17168
-13900,17178
-13905,17192
-13914,17207
-13926,17222
-13946,17239
-13982,17260
-14079,17295
-14132,17304
-14153,17304
-14164,17302
-14173,17299
-14178,17296
-14182,17293
-14188,17286
-14191,17281
-14193,17276
-14195,17267
-14195,17262
-14194,17254
-14173,17195
-14141,17140
-14117,17111
-14092,17090
-14064,17074
-14025,17060
-13975,17060
-13941,17066
-13920,17074
-13906,17082
-13893,17093
-13881,17107
-13866,17132
-13806,17296
-13786,17411
-13786,17437
-13789,17455
-13794,17468
-13802,17482
-13815,17497
-13836,17515
-13871,17535
-13952,17564
-14011,17574
-14032,17574
-14044,17572
-14056,17568
-14065,17563
-14072,17557
-14082,17545
-14094,17524
-14111,17477
-14141,17305
-14141,17242
-14131,17187
-14110,17130
-14095,17105
-14078,17085
-14058,17068
-14036,17055
-14002,17043
-13804,17043
-13760,17051
-13734,17060
-13713,17072
-13700,17083
-13693,17092
-13687,17102
-13683,17112
-13681,17123
-13681,17135
-13683,17147
-13699,17192
-13715,17219
-13731,17238
-13748,17252
-13769,17264
